date,areaType,areaCode,areaName,newCasesByPublishDate,newDeathsByDeathDate
"2020-11-20",utla,E06000040,Windsor and Maidenhead,10,0
"2020-11-19",utla,E06000040,Windsor and Maidenhead,29,1
"2020-04-20",utla,E08000001,Bolton,14,6
"2020-04-19",utla,E08000001,Bolton,33,6
"2020-04-18",utla,E08000001,Bolton,30,6
"2020-04-17",utla,E08000001,Bolton,35,14
"2020-04-16",utla,E08000001,Bolton,0,6
"2020-11-18",utla,E06000040,Windsor and Maidenhead,20,1
"2020-07-17",utla,E06000041,Wokingham,1,0
"2020-04-15",utla,E08000001,Bolton,0,11
"2020-08-08",utla,E08000037,Gateshead,3,1
"2020-08-07",utla,E08000037,Gateshead,3,0
"2020-08-06",utla,E08000037,Gateshead,1,1
"2020-11-17",utla,E06000040,Windsor and Maidenhead,31,0
"2020-08-05",utla,E08000037,Gateshead,1,0
"2020-11-27",utla,E06000052,Cornwall and Isles of Scilly,11,0
"2020-08-04",utla,E08000037,Gateshead,0,0
"2020-11-16",utla,E06000040,Windsor and Maidenhead,0,1
"2020-08-03",utla,E08000037,Gateshead,2,0
"2020-03-25",utla,E06000011,East Riding of Yorkshire,0,1
"2020-08-02",utla,E08000037,Gateshead,3,2
"2020-07-16",utla,E06000041,Wokingham,0,0
"2020-11-15",utla,E06000040,Windsor and Maidenhead,29,0
"2020-03-24",utla,E06000011,East Riding of Yorkshire,0,1
"2020-06-16",utla,E06000038,Reading,1,0
"2020-06-15",utla,E06000038,Reading,1,0
"2020-06-14",utla,E06000038,Reading,0,0
"2020-06-13",utla,E06000038,Reading,0,1
"2020-08-01",utla,E08000037,Gateshead,3,0
"2020-06-12",utla,E06000038,Reading,0,0
"2020-08-17",utla,E06000009,Blackpool,1,0
"2020-09-07",utla,E06000007,Warrington,16,0
"2020-06-11",utla,E06000038,Reading,2,0
"2020-09-06",utla,E06000007,Warrington,23,0
"2020-08-16",utla,E06000009,Blackpool,1,0
"2020-06-10",utla,E06000038,Reading,0,1
"2020-06-09",utla,E06000038,Reading,0,1
"2020-11-02",utla,E09000003,Barnet,73,1
"2020-06-08",utla,E06000038,Reading,1,0
"2020-11-01",utla,E09000003,Barnet,80,1
"2020-01-17",utla,E06000034,Thurrock,0,
"2020-10-31",utla,E09000003,Barnet,51,0
"2020-10-30",utla,E09000003,Barnet,84,0
"2020-10-29",utla,E09000003,Barnet,87,1
"2020-06-07",utla,E06000038,Reading,0,1
"2020-10-28",utla,E09000003,Barnet,91,2
"2020-04-24",utla,E06000054,Wiltshire,0,8
"2020-06-06",utla,E06000038,Reading,3,0
"2020-10-27",utla,E09000003,Barnet,84,2
"2020-06-05",utla,E06000038,Reading,1,1
"2020-10-11",utla,E08000025,Birmingham,229,5
"2020-07-31",utla,E08000037,Gateshead,1,1
"2020-06-04",utla,E06000038,Reading,0,1
"2020-10-10",utla,E08000025,Birmingham,345,2
"2020-07-30",utla,E08000037,Gateshead,0,1
"2020-01-16",utla,E06000034,Thurrock,0,
"2020-06-03",utla,E06000038,Reading,2,0
"2020-04-23",utla,E06000054,Wiltshire,3,5
"2020-04-22",utla,E06000054,Wiltshire,17,2
"2020-10-09",utla,E08000025,Birmingham,182,1
"2020-04-21",utla,E06000054,Wiltshire,14,4
"2020-04-14",utla,E10000021,Northamptonshire,0,16
"2020-10-08",utla,E06000030,Swindon,14,0
"2020-04-20",utla,E06000054,Wiltshire,29,4
"2020-04-13",utla,E10000021,Northamptonshire,0,9
"2020-10-07",utla,E06000030,Swindon,18,0
"2020-04-19",utla,E06000054,Wiltshire,9,4
"2020-10-08",utla,E08000025,Birmingham,314,6
"2020-10-06",utla,E06000030,Swindon,7,0
"2020-10-07",utla,E08000025,Birmingham,295,3
"2020-04-18",utla,E06000054,Wiltshire,34,4
"2020-04-12",utla,E10000021,Northamptonshire,0,12
"2020-10-06",utla,E08000025,Birmingham,323,3
"2020-10-05",utla,E06000030,Swindon,8,0
"2020-04-11",utla,E10000021,Northamptonshire,0,14
"2020-04-17",utla,E06000054,Wiltshire,23,1
"2020-10-05",utla,E08000025,Birmingham,293,6
"2020-10-04",utla,E06000030,Swindon,13,0
"2020-04-10",utla,E10000021,Northamptonshire,0,5
"2020-10-03",utla,E06000030,Swindon,16,0
"2020-04-09",utla,E10000021,Northamptonshire,0,12
"2020-04-16",utla,E06000054,Wiltshire,0,5
"2020-07-29",utla,E08000037,Gateshead,0,0
"2020-10-02",utla,E06000030,Swindon,3,0
"2020-04-08",utla,E10000021,Northamptonshire,0,9
"2020-04-15",utla,E06000054,Wiltshire,0,3
